Signrt	Part	KeyType	Signup	ProdSubarea	GuideTime	Neighborhood	LowIncome	Minority	ZoneFare	AnnRides	AnnRevHrs	AnnFareRev	AnnOpCost	AnnPassMiles	AnnSeatMiles	AnnTrips	AnnPlatHrs	AnnPlatMile	AnnRevMile	AnnSeats	RidesPerRevHr	FR/OE	PassMilesPerRevHrs	PassMilesPerSeatMile	RidesPerTrip	RevHrsPerPlatHr	RidesPerPlatHr	SeatsPerTrip	PassMilesPerPlatMile	AverageLoad
27	 		2010.3	WEST	Night	Colman Park	Yes	Yes	One-Zone	65,196	2,132	$60,026	$405,848	100,254	1,080,915	6,205	3,718	30,654	25,736	260,610	30.59	15%	47.03	0.09	10.51	0.57	17.54	42.0	3.27	3.90
27	 		2010.3	WEST	OffPeak	Colman Park	Yes	Yes	One-Zone	188,801	3,994	$173,829	$667,953	277,017	1,938,088	11,145	6,161	48,763	46,145	468,090	47.27	26%	69.36	0.14	16.94	0.65	30.65	42.0	5.68	6.00
27	 		2010.3	WEST	Peak	Colman Park	Yes	Yes	One-Zone	166,539	2,801	$269,893	$517,543	222,003	1,173,602	6,630	4,718	40,040	27,943	278,460	59.46	52%	79.27	0.19	25.12	0.59	35.30	42.0	5.54	7.94
28	 		2010.3	WEST	Night	Broadview	No	No	One-Zone	252,930	6,067	$241,244	$1,150,666	931,716	5,199,177	9,554	8,771	128,354	103,761	479,230	41.69	21%	153.56	0.18	26.47	0.69	28.84	50.2	7.26	8.98
28	 		2010.3	WEST	OffPeak	Broadview	No	No	One-Zone	509,415	8,127	$485,880	$1,336,994	1,564,280	5,548,795	11,562	10,683	139,882	124,459	515,595	62.68	36%	192.47	0.28	44.06	0.76	47.68	44.6	11.18	12.57
28	 		2010.3	WEST	Peak	Broadview	No	No	One-Zone	195,695	2,928	$365,852	$542,483	603,840	2,211,735	3,570	4,093	57,401	39,607	198,900	66.83	67%	206.21	0.27	54.82	0.72	47.82	55.7	10.52	15.25
28	 	EX	2010.3	WEST	Peak	Broadview	No	No	One-Zone	229,121	3,585	$415,032	$842,645	1,133,354	3,134,057	4,287	5,958	91,575	49,750	269,826	63.91	49%	316.13	0.36	53.45	0.60	38.46	62.9	12.38	22.78
28	 	TB	2010.3	WEST	Peak	Whittier Heights	No	No	One-Zone	171,132	2,128	$311,354	$440,603	457,575	1,323,692	3,771	3,366	46,693	25,099	198,795	80.44	71%	215.08	0.35	45.38	0.63	50.84	52.7	9.80	18.23
30	 		2010.3	WEST	OffPeak	Sand Point	Yes	No	One-Zone	285,609	5,432	$175,907	$935,666	934,371	2,487,933	6,630	8,390	77,997	71,084	232,050	52.58	19%	172.03	0.38	43.08	0.65	34.04	35.0	11.98	13.14
30	 		2010.3	WEST	Peak	Sand Point	Yes	No	One-Zone	281,796	5,172	$376,479	$849,503	897,141	2,296,224	6,120	7,370	80,779	65,606	214,200	54.48	44%	173.45	0.39	46.05	0.70	38.24	35.0	11.11	13.67
30	 	TB	2010.3	WEST	Night	Sand Point	Yes	No	One-Zone	200,166	6,239	$123,282	$1,070,946	600,775	3,037,067	8,812	9,413	96,914	86,773	308,420	32.08	12%	96.30	0.20	22.72	0.66	21.27	35.0	6.20	6.92
30	 	TB	2010.3	WEST	OffPeak	Sand Point	Yes	No	One-Zone	127,030	3,640	$78,238	$644,794	317,851	1,682,365	5,222	5,643	59,310	48,068	182,770	34.90	12%	87.32	0.19	24.33	0.65	22.51	35.0	5.36	6.61
31	 		2010.3	WEST	OffPeak	Magnolia	No	No	One-Zone	187,077	5,072	$168,219	$911,207	483,377	2,877,282	10,047	7,939	85,282	70,287	411,264	36.89	18%	95.31	0.17	18.62	0.64	23.57	40.9	5.67	6.88
31	 		2010.3	WEST	Peak	Magnolia	No	No	One-Zone	178,935	3,167	$172,601	$566,511	472,886	1,667,693	5,936	4,916	53,819	41,972	235,676	56.51	30%	149.33	0.28	30.14	0.64	36.40	39.7	8.79	11.27
33	 		2010.3	WEST	Night	Discovery Park	No	No	One-Zone	57,603	2,064	$55,167	$418,002	190,052	1,384,484	4,658	3,411	44,831	34,533	187,763	27.91	13%	92.08	0.14	12.37	0.61	16.89	40.3	4.24	5.50
33	 		2010.3	WEST	OffPeak	Discovery Park	No	No	One-Zone	153,007	3,535	$146,535	$622,091	509,637	2,476,442	7,901	5,135	61,007	56,072	348,914	43.29	24%	144.18	0.21	19.37	0.69	29.80	44.2	8.35	9.09
33	 		2010.3	WEST	Peak	Discovery Park	No	No	One-Zone	233,667	3,345	$411,020	$609,016	690,821	2,241,079	6,606	4,941	61,406	47,599	312,323	69.85	67%	206.50	0.31	35.37	0.68	47.29	47.3	11.25	14.51
34	 	EX	2010.3	WEST	Peak	Rainier Beach	No	Yes	One-Zone	41,320	1,099	$77,028	$229,710	147,780	667,564	1,482	1,774	25,194	13,545	73,359	37.59	34%	134.45	0.22	27.88	0.62	23.29	49.5	5.87	10.91
35	 		2010.3	WEST	Peak	Seattle CBD	Yes	Yes	One-Zone	5,783	451	$7,458	$84,937	10,684	261,049	1,020	710	7,793	5,039	52,530	12.84	9%	23.72	0.04	5.67	0.63	8.15	51.5	1.37	2.12
36	 		2010.3	WEST	Night	Beacon Hill	No	Yes	One-Zone	465,398	11,401	$411,086	$2,191,409	1,107,962	6,312,027	21,163	16,947	155,267	145,063	918,838	40.82	19%	97.18	0.18	21.99	0.67	27.46	43.4	7.14	7.64
36	 		2010.3	WEST	OffPeak	Beacon Hill	No	Yes	One-Zone	1,445,727	21,501	$1,277,011	$3,784,433	3,390,776	11,368,587	34,538	30,695	248,628	240,320	1,625,174	67.24	34%	157.70	0.30	41.86	0.70	47.10	47.1	13.64	14.11
36	 		2010.3	WEST	Peak	Beacon Hill	No	Yes	One-Zone	872,454	13,503	$937,102	$2,423,250	2,038,125	7,174,923	20,790	19,583	171,448	145,233	1,020,452	64.61	39%	150.93	0.28	41.97	0.69	44.55	49.1	11.89	14.03
36	 	SH	2010.3	WEST	Night	Rainier Beach	No	Yes	One-Zone	25,389	2,376	$23,198	$475,071	44,537	1,621,366	7,017	3,355	42,038	38,604	294,714	10.69	5%	18.74	0.03	3.62	0.71	7.57	42.0	1.06	1.15
37	 	EX	2010.3	WEST	Peak	Admiral District	No	No	One-Zone	68,710	2,924	$136,205	$534,447	442,374	2,125,507	3,825	4,186	68,947	50,607	160,650	23.50	25%	151.29	0.21	17.96	0.70	16.41	42.0	6.42	8.74
38	 		2010.3	WEST	OffPeak	Beacon Hill	No	Yes	One-Zone	35,588	1,495	$12,181	$241,226	24,089	349,830	11,960	2,302	15,668	11,661	358,800	23.80	5%	16.11	0.07	2.98	0.65	15.46	30.0	1.54	2.07
39	 		2010.3	WEST	Night	Othello Station	No	Yes	One-Zone	41,287	2,754	$37,072	$458,087	181,803	1,672,392	4,044	3,842	44,540	40,844	165,545	14.99	8%	66.01	0.11	10.21	0.72	10.75	40.9	4.08	4.45
39	 		2010.3	WEST	OffPeak	Othello Station	No	Yes	One-Zone	157,018	5,610	$140,986	$835,800	662,685	3,508,578	7,646	6,935	79,106	77,225	347,384	27.99	17%	118.13	0.19	20.54	0.81	22.64	45.4	8.38	8.58
39	 		2010.3	WEST	Peak	Othello Station	No	Yes	One-Zone	169,058	4,939	$252,049	$753,013	536,589	2,998,220	6,351	6,105	72,770	62,707	301,868	34.23	33%	108.64	0.18	26.62	0.81	27.69	47.5	7.37	8.56
41	 		2010.3	WEST	Night	Lake City	Yes	Yes	One-Zone	383,554	7,594	$357,395	$1,730,022	2,077,076	7,645,607	10,287	13,637	164,127	131,821	596,646	50.51	21%	273.50	0.27	37.29	0.56	28.13	58.0	12.66	15.76
41	 		2010.3	WEST	OffPeak	Lake City	Yes	Yes	One-Zone	942,994	15,243	$878,682	$3,082,912	4,689,030	14,746,860	19,801	24,203	295,485	254,256	1,148,458	61.87	29%	307.63	0.32	47.62	0.63	38.96	58.0	15.87	18.44
41	 		2010.3	WEST	Peak	Lake City	Yes	Yes	One-Zone	564,298	8,474	$1,001,233	$1,770,583	2,823,329	8,169,962	11,196	13,411	184,873	140,861	649,368	66.59	57%	333.16	0.35	50.40	0.63	42.08	58.0	15.27	20.04
41	 	TB	2010.3	WEST	OffPeak	Northgate P&R	Yes	Yes	One-Zone	66,945	753	$62,379	$232,003	312,668	884,497	1,490	1,672	26,879	15,250	86,420	88.88	27%	415.10	0.35	44.93	0.45	40.05	58.0	11.63	20.50
41	 	TB	2010.3	WEST	Peak	Northgate P&R	Yes	Yes	One-Zone	369,535	4,489	$655,665	$1,212,781	1,484,916	5,238,492	9,044	8,409	150,681	90,319	524,552	82.32	54%	330.80	0.28	40.86	0.53	43.94	58.0	9.85	16.44
42	 		2010.3	WEST	OffPeak	Columbia City	No	Yes	One-Zone	30,864	1,976	$22,475	$319,261	59,466	1,047,652	5,610	2,890	25,510	24,944	235,620	15.62	7%	30.09	0.06	5.50	0.68	10.68	42.0	2.33	2.38
43	 		2010.3	WEST	Night	U. District	Yes	No	One-Zone	384,995	8,238	$356,660	$1,488,595	864,056	4,205,300	14,498	10,915	84,168	79,093	770,298	46.73	24%	104.88	0.21	26.56	0.75	35.27	53.1	10.27	10.92
43	 		2010.3	WEST	OffPeak	U. District	Yes	No	One-Zone	812,526	13,757	$752,725	$2,403,147	1,579,172	6,253,601	22,610	18,401	124,826	124,364	1,135,260	59.06	31%	114.79	0.25	35.94	0.75	44.16	50.2	12.65	12.70
43	 		2010.3	WEST	Peak	U. District	Yes	No	One-Zone	583,023	8,667	$778,452	$1,513,083	1,150,431	3,958,457	12,734	11,191	74,328	70,638	713,614	67.27	51%	132.74	0.29	45.78	0.77	52.10	56.0	15.48	16.29
43	 	SH	2010.3	WEST	Night	Capitol Hill	Yes	No	One-Zone	102,144	3,211	$94,626	$577,555	197,630	1,823,391	6,607	3,921	40,644	35,636	338,072	31.81	16%	61.54	0.11	15.46	0.82	26.05	51.2	4.86	5.55
43	 	SH	2010.3	WEST	Peak	Capitol Hill	Yes	No	One-Zone	25,790	1,029	$34,435	$194,953	42,611	547,638	1,785	1,296	12,243	9,779	99,960	25.08	18%	41.43	0.08	14.45	0.79	19.90	56.0	3.48	4.36
44	 		2010.3	WEST	Night	Ballard	No	No	One-Zone	520,733	9,859	$461,214	$2,112,304	939,644	5,741,419	23,381	15,640	119,624	110,184	1,218,466	52.82	22%	95.31	0.16	22.27	0.63	33.29	52.1	7.86	8.53
44	 		2010.3	WEST	OffPeak	Ballard	No	No	One-Zone	837,905	12,213	$742,132	$2,328,597	1,836,880	5,888,507	22,876	18,003	117,240	117,240	1,139,292	68.61	32%	150.41	0.31	36.63	0.68	46.54	49.8	15.67	15.67
44	 		2010.3	WEST	Peak	Ballard	No	No	One-Zone	617,940	8,330	$640,742	$1,553,945	1,327,759	4,213,773	14,535	11,492	77,189	75,207	814,470	74.18	41%	159.39	0.32	42.51	0.72	53.77	56.0	17.20	17.65
45	 	EX	2010.3	WEST	Peak	Queen Anne	No	No	One-Zone	35,603	835	$45,666	$219,834	105,708	334,230	1,709	1,877	22,104	9,301	61,334	42.64	21%	126.60	0.32	20.83	0.44	18.97	35.9	4.78	11.36
46	 		2010.3	WEST	OffPeak	Shilshole	No	No	One-Zone	7,575	626	$4,841	$177,445	13,091	321,940	1,976	1,523	17,525	9,198	69,160	12.11	3%	20.92	0.04	3.83	0.41	4.97	35.0	0.75	1.42
46	 		2010.3	WEST	Peak	Shilshole	No	No	One-Zone	60,895	1,424	$95,082	$321,239	168,602	653,821	3,211	2,738	32,527	18,681	112,385	42.75	30%	118.37	0.26	18.96	0.52	22.24	35.0	5.18	9.03
48	N		2010.3	WEST	Night	Loyal Heights	No	No	One-Zone	2,350	37	$1,672	$33,949	655	33,948	554	185	5,424	554	33,948	63.62	5%	17.73	0.02	4.24	0.20	12.73	61.3	0.12	1.18
48	N		2010.3	WEST	OffPeak	Loyal Heights	No	No	One-Zone	5,459	37	$3,884	$23,397	4,177	30,706	307	158	2,926	503	18,140	145.69	17%	111.48	0.14	17.78	0.24	34.64	59.1	1.43	8.30
48	N		2010.3	WEST	Peak	Loyal Heights	No	No	One-Zone	32,564	350	$26,865	$129,891	48,516	218,716	1,506	952	14,585	4,053	80,296	93.02	21%	138.59	0.22	21.62	0.37	34.22	53.3	3.33	11.97
48	N		2010.3	WEST	Night	Loyal Heights	No	No	One-Zone	327,479	6,809	$233,002	$1,224,151	741,655	4,758,143	14,890	9,845	106,736	86,399	820,010	48.10	19%	108.92	0.16	21.99	0.69	33.26	55.1	6.95	8.58
48	N		2010.3	WEST	OffPeak	Loyal Heights	No	No	One-Zone	698,906	9,729	$497,272	$1,620,763	1,412,907	5,572,367	19,530	13,601	133,603	113,264	960,735	71.84	31%	145.23	0.25	35.79	0.72	51.39	49.2	10.58	12.47
48	N		2010.3	WEST	Peak	Loyal Heights	No	No	One-Zone	577,652	8,210	$476,563	$1,518,977	1,129,114	5,087,400	15,029	12,048	130,719	87,153	877,244	70.36	31%	137.52	0.22	38.44	0.68	47.95	58.4	8.64	12.96
48	N	EX	2010.3	WEST	Peak	Loyal Heights	No	No	One-Zone	66,336	947	$54,728	$204,352	227,828	680,944	1,522	1,577	18,456	10,781	95,878	70.02	27%	240.49	0.33	43.59	0.60	42.07	63.0	12.34	21.13
48	S		2010.3	WEST	Night	Mount Baker	Yes	Yes	One-Zone	381,762	7,708	$271,624	$1,277,559	799,839	5,292,290	15,334	10,599	101,324	95,463	850,108	49.53	21%	103.76	0.15	24.90	0.73	36.02	55.4	7.89	8.38
48	S		2010.3	WEST	OffPeak	Mount Baker	Yes	Yes	One-Zone	855,876	10,725	$608,956	$1,588,975	1,708,352	6,117,954	19,947	13,421	127,808	124,184	982,725	79.80	38%	159.28	0.28	42.91	0.80	63.77	49.3	13.37	13.76
48	S		2010.3	WEST	Peak	Mount Baker	Yes	Yes	One-Zone	899,516	9,704	$742,101	$1,541,378	1,765,229	5,920,999	16,790	12,847	115,615	101,864	972,330	92.70	48%	181.91	0.30	53.57	0.76	70.02	57.9	15.27	17.33
49	 		2010.3	WEST	Night	U. District	Yes	No	One-Zone	577,660	9,879	$532,140	$1,788,804	1,064,949	4,988,846	17,614	13,020	90,889	89,087	986,384	58.47	30%	107.80	0.21	32.80	0.76	44.37	56.0	11.72	11.95
49	 		2010.3	WEST	OffPeak	U. District	Yes	No	One-Zone	963,842	14,481	$887,891	$2,517,890	1,839,176	6,470,617	22,349	18,912	116,792	115,547	1,251,544	66.56	35%	127.00	0.28	43.13	0.77	50.96	56.0	15.75	15.92
49	 		2010.3	WEST	Peak	U. District	Yes	No	One-Zone	541,765	7,826	$702,832	$1,315,389	1,037,520	3,054,607	10,423	10,099	56,835	54,547	583,688	69.23	53%	132.57	0.34	51.98	0.77	53.64	56.0	18.25	19.02
49	 	SH	2010.3	WEST	OffPeak	U. District	Yes	No	One-Zone	18,853	1,398	$19,153	$271,163	40,420	790,058	2,856	1,804	17,017	14,108	159,936	13.48	7%	28.91	0.05	6.60	0.78	10.45	56.0	2.38	2.86
51	 		2010.3	WEST	OffPeak	West Seattle	Yes	No	One-Zone	47,496	1,883	$30,583	$382,608	76,976	862,742	11,179	3,386	36,303	28,758	335,370	25.22	8%	40.88	0.09	4.25	0.56	14.03	30.0	2.12	2.68
51	 		2010.3	WEST	Peak	West Seattle	Yes	No	One-Zone	28,369	927	$22,201	$155,370	41,667	412,029	5,355	1,398	13,734	13,734	160,650	30.62	14%	44.97	0.10	5.30	0.66	20.29	30.0	3.03	3.03
53	 		2010.3	WEST	OffPeak	Admiral District	Yes	No	One-Zone	23,564	1,268	$17,941	$241,994	71,457	701,974	3,952	2,104	22,838	20,056	138,320	18.58	7%	56.36	0.10	5.96	0.60	11.20	35.0	3.13	3.56
54	 		2010.3	WEST	Night	White Center	Yes	No	One-Zone	259,396	7,185	$240,097	$1,385,678	1,373,275	7,139,766	11,043	10,566	148,048	129,643	608,134	36.10	17%	191.14	0.19	23.49	0.68	24.55	55.1	9.28	10.59
54	 		2010.3	WEST	OffPeak	White Center	Yes	No	One-Zone	430,823	9,032	$398,769	$1,648,958	2,200,297	8,896,362	12,864	12,486	169,750	150,418	760,344	47.70	24%	243.60	0.25	33.49	0.72	34.50	59.1	12.96	14.63
54	 		2010.3	WEST	Peak	White Center	Yes	No	One-Zone	383,573	8,216	$680,574	$1,607,365	2,032,953	7,164,535	10,439	12,090	167,743	121,511	615,056	46.68	42%	247.43	0.28	36.74	0.68	31.73	58.9	12.12	16.73
54	 	EX	2010.3	WEST	Peak	Fauntleroy	No	No	One-Zone	126,297	1,772	$224,089	$519,460	733,686	1,966,137	3,570	3,732	59,129	32,592	215,220	71.26	43%	413.99	0.37	35.38	0.47	33.85	60.3	12.41	22.51
55	 		2010.3	WEST	Night	Admiral District	No	No	One-Zone	56,822	1,315	$52,748	$304,325	252,520	1,324,705	2,727	2,350	29,630	22,477	160,852	43.21	17%	192.01	0.19	20.84	0.56	24.18	59.0	8.52	11.23
55	 		2010.3	WEST	OffPeak	Admiral District	No	No	One-Zone	260,656	5,735	$241,967	$1,034,956	1,168,738	5,367,352	11,742	8,148	102,298	96,684	653,798	45.45	23%	203.78	0.22	22.20	0.70	31.99	55.7	11.42	12.09
55	 		2010.3	WEST	Peak	Admiral District	No	No	One-Zone	279,367	4,403	$492,803	$873,331	1,350,155	3,872,598	8,144	6,702	88,437	66,844	471,794	63.45	56%	306.64	0.35	34.30	0.66	41.69	57.9	15.27	20.20
55	 	SH	2010.3	WEST	Night	Admiral District	No	No	One-Zone	38,264	1,029	$35,520	$278,860	36,248	813,930	8,528	2,473	22,785	18,449	376,240	37.19	13%	35.23	0.04	4.49	0.42	15.47	44.1	1.59	1.96
56	 		2010.3	WEST	Night	Alki	No	No	One-Zone	69,152	3,175	$66,019	$638,006	248,966	2,877,101	6,944	4,996	61,783	49,865	400,762	21.78	10%	78.41	0.09	9.96	0.64	13.84	57.7	4.03	4.99
56	 		2010.3	WEST	OffPeak	Alki	No	No	One-Zone	190,199	5,065	$181,583	$833,726	700,615	4,401,320	10,458	6,563	77,435	74,211	620,286	37.55	22%	138.32	0.16	18.19	0.77	28.98	59.3	9.05	9.44
56	 		2010.3	WEST	Peak	Alki	No	No	One-Zone	57,576	1,284	$107,425	$223,169	126,977	1,058,970	2,526	1,731	21,655	17,896	149,472	44.83	48%	98.86	0.12	22.79	0.74	33.26	59.2	5.86	7.10
56	 	EX	2010.3	WEST	Peak	Alki	No	No	One-Zone	163,459	2,294	$282,427	$617,656	769,434	2,145,335	4,797	4,777	63,304	37,828	271,962	71.26	46%	335.45	0.36	34.08	0.48	34.22	56.7	12.15	20.34
57	 		2010.3	WEST	Peak	W. Seattle Junction	No	No	One-Zone	71,554	1,989	$143,438	$366,555	300,560	1,531,190	3,036	2,850	35,211	25,955	179,052	35.97	39%	151.11	0.20	23.57	0.70	25.11	59.0	8.54	11.58
60	 		2010.3	WEST	Night	White Center	Yes	Yes	One-Zone	146,932	5,989	$126,582	$1,014,792	444,987	2,947,373	5,752	8,687	101,193	84,211	201,320	24.53	12%	74.30	0.15	25.54	0.69	16.91	35.0	4.40	5.28
60	 		2010.3	WEST	OffPeak	White Center	Yes	Yes	One-Zone	635,392	15,890	$547,390	$2,490,779	1,871,040	7,461,194	14,892	21,662	234,655	213,177	521,220	39.99	22%	117.75	0.25	42.67	0.73	29.33	35.0	7.97	8.78
60	 		2010.3	WEST	Peak	White Center	Yes	Yes	One-Zone	472,747	10,599	$492,650	$1,627,515	1,425,244	4,559,020	8,885	14,139	153,954	130,258	310,975	44.60	30%	134.47	0.31	53.21	0.75	33.44	35.0	9.26	10.94
64	 	EX	2010.3	WEST	Peak	Lake City	No	No	One-Zone	158,670	3,552	$311,453	$697,070	828,607	2,378,543	3,522	5,429	71,046	44,395	188,938	44.67	45%	233.29	0.35	45.05	0.65	29.23	53.6	11.66	18.66
65	 		2010.3	WEST	Night	Lake City	Yes	No	One-Zone	173,074	4,749	$136,399	$835,268	446,108	2,907,435	7,897	7,204	69,991	61,412	374,769	36.44	16%	93.93	0.15	21.92	0.66	24.02	47.5	6.37	7.26
65	 		2010.3	WEST	OffPeak	Lake City	Yes	No	One-Zone	421,749	7,308	$332,380	$1,226,222	812,053	4,405,284	11,398	10,527	100,074	88,792	565,177	57.71	27%	111.12	0.18	37.00	0.69	40.06	49.6	8.11	9.15
65	 		2010.3	WEST	Peak	Lake City	Yes	No	One-Zone	349,884	5,724	$340,227	$1,019,984	780,415	3,270,278	8,375	8,297	95,245	64,085	427,910	61.13	33%	136.35	0.24	41.78	0.69	42.17	51.1	8.19	12.18
66	 	EX	2010.3	WEST	Night	Northgate	No	No	One-Zone	157,146	5,147	$149,304	$910,808	558,112	2,593,744	7,752	8,122	77,719	65,333	307,734	30.53	16%	108.43	0.22	20.27	0.63	19.35	39.7	7.18	8.54
66	 	EX	2010.3	WEST	OffPeak	Northgate	No	No	One-Zone	348,351	8,283	$330,968	$1,384,362	1,117,096	3,817,191	11,307	12,799	99,860	95,943	449,904	42.06	24%	134.87	0.29	30.81	0.65	27.22	39.8	11.19	11.64
66	 	EX	2010.3	WEST	Peak	Northgate	No	No	One-Zone	253,685	4,896	$415,333	$819,007	759,517	2,039,138	6,120	7,289	68,174	51,778	241,230	51.81	51%	155.13	0.37	41.45	0.67	34.80	39.4	11.14	14.67
67	 		2010.3	WEST	Night	North Seattle	No	No	One-Zone	79,053	1,377	$59,638	$234,015	155,193	812,458	4,335	2,023	19,485	17,661	198,645	57.41	25%	112.70	0.19	18.24	0.68	39.08	45.8	7.96	8.79
67	 		2010.3	WEST	OffPeak	North Seattle	No	No	One-Zone	163,897	2,274	$123,644	$440,555	335,350	1,502,366	6,375	3,706	34,333	26,905	356,235	72.08	28%	147.49	0.22	25.71	0.61	44.22	55.9	9.77	12.46
67	 		2010.3	WEST	Peak	North Seattle	No	No	One-Zone	164,521	2,366	$150,899	$505,138	382,204	1,416,435	6,402	4,105	46,875	27,025	335,319	69.52	30%	161.51	0.27	25.70	0.58	40.08	52.4	8.15	14.14
68	 		2010.3	WEST	OffPeak	Northgate TC	Yes	No	One-Zone	375,636	4,612	$331,161	$756,285	745,640	2,312,985	8,972	6,589	70,781	56,685	366,114	81.44	44%	161.66	0.32	41.87	0.70	57.01	40.8	10.53	13.15
68	 		2010.3	WEST	Peak	Northgate TC	Yes	No	One-Zone	281,684	3,357	$274,360	$523,250	588,056	1,632,630	6,425	4,587	46,208	40,204	262,245	83.92	52%	175.20	0.36	43.84	0.73	61.41	40.8	12.73	14.63
70	 		2010.3	WEST	Night	U. District	Yes	No	One-Zone	90,472	2,798	$86,229	$384,852	174,639	1,000,358	4,196	3,587	26,609	23,818	176,232	32.34	22%	62.42	0.17	21.56	0.78	25.23	42.0	6.56	7.33
70	 		2010.3	WEST	OffPeak	U. District	Yes	No	One-Zone	444,399	11,001	$423,556	$1,476,388	930,415	3,976,329	17,047	13,900	96,417	94,674	715,974	40.40	29%	84.58	0.23	26.07	0.79	31.97	42.0	9.65	9.83
70	 		2010.3	WEST	Peak	U. District	Yes	No	One-Zone	460,209	9,220	$784,933	$1,183,386	818,059	2,999,345	12,861	11,220	74,105	71,413	540,162	49.92	66%	88.73	0.27	35.78	0.82	41.02	42.0	11.04	11.46
71	 		2010.3	WEST	Night	Wedgwood	Yes	Yes	One-Zone	336,681	7,942	$313,921	$1,374,381	1,100,545	6,216,569	10,440	11,361	114,033	107,182	605,520	42.39	23%	138.57	0.18	32.25	0.70	29.63	58.0	9.65	10.27
71	 		2010.3	WEST	OffPeak	Wedgwood	Yes	Yes	One-Zone	165,501	2,634	$154,313	$480,676	455,011	2,022,954	3,408	4,052	37,454	34,879	197,664	62.84	32%	172.77	0.22	48.56	0.65	40.84	58.0	12.15	13.05
71	 	EX	2010.3	WEST	Night	Wedgwood	Yes	No	One-Zone	68,457	1,250	$63,829	$198,074	220,116	921,565	1,530	1,573	18,444	15,889	88,740	54.79	32%	176.16	0.24	44.74	0.79	43.53	58.0	11.93	13.85
71	 	EX	2010.3	WEST	OffPeak	Wedgwood	Yes	No	One-Zone	494,978	6,962	$461,518	$1,189,257	1,805,140	5,227,266	8,705	9,879	97,202	90,125	504,890	71.10	39%	259.30	0.35	56.86	0.70	50.11	58.0	18.57	20.03
71	 	EX	2010.3	WEST	Peak	Wedgwood	Yes	No	One-Zone	282,585	4,671	$382,281	$804,989	1,043,587	3,354,224	5,610	6,452	73,078	57,831	325,380	60.50	47%	223.43	0.31	50.37	0.72	43.80	58.0	14.28	18.05
72	 		2010.3	WEST	Night	Lake City	Yes	Yes	One-Zone	249,481	5,487	$230,670	$955,033	850,539	4,240,726	6,808	7,652	86,771	73,116	394,864	45.47	24%	155.01	0.20	36.65	0.72	32.60	58.0	9.80	11.63
72	 		2010.3	WEST	OffPeak	Lake City	Yes	Yes	One-Zone	108,222	1,828	$102,681	$329,538	232,688	1,407,472	2,271	2,680	28,699	24,267	131,718	59.21	31%	127.31	0.17	47.65	0.68	40.38	58.0	8.11	9.59
72	 	EX	2010.3	WEST	Night	Lake City	Yes	Yes	One-Zone	71,587	1,172	$66,189	$189,550	248,993	829,491	1,327	1,566	15,758	14,302	76,966	61.08	35%	212.45	0.30	53.95	0.75	45.71	58.0	15.80	17.41
72	 	EX	2010.3	WEST	OffPeak	Lake City	Yes	Yes	One-Zone	470,607	6,842	$435,123	$1,112,614	1,774,553	5,282,029	8,450	9,196	92,367	91,069	490,100	68.78	39%	259.35	0.34	55.69	0.74	51.18	58.0	19.21	19.49
72	 	EX	2010.3	WEST	Peak	Lake City	Yes	Yes	One-Zone	319,647	4,463	$444,757	$718,152	1,209,414	3,333,222	5,355	5,806	63,648	57,469	310,590	71.63	62%	271.02	0.36	59.69	0.77	55.06	58.0	19.00	21.04
73	 		2010.3	WEST	Night	Jackson Park	Yes	Yes	One-Zone	241,231	4,958	$223,066	$860,371	907,333	4,035,720	5,985	6,807	80,848	69,581	347,130	48.65	26%	183.00	0.22	40.31	0.73	35.44	58.0	11.22	13.04
73	 		2010.3	WEST	OffPeak	Jackson Park	Yes	Yes	One-Zone	111,793	2,151	$109,652	$396,094	299,013	1,702,733	2,526	3,122	37,575	29,357	146,508	51.98	28%	139.04	0.18	44.26	0.69	35.81	58.0	7.96	10.19
73	 	EX	2010.3	WEST	Night	Jackson Park	Yes	Yes	One-Zone	84,361	1,305	$78,008	$214,819	296,361	1,029,384	1,530	1,683	20,698	17,748	88,740	64.66	36%	227.14	0.29	55.14	0.78	50.13	58.0	14.32	16.70
73	 	EX	2010.3	WEST	OffPeak	Jackson Park	Yes	Yes	One-Zone	529,686	7,192	$489,801	$1,255,315	2,081,056	5,775,110	8,502	10,161	110,855	99,571	493,116	73.64	39%	289.34	0.36	62.30	0.71	52.13	58.0	18.77	20.90
73	 	EX	2010.3	WEST	Peak	Jackson Park	Yes	Yes	One-Zone	332,369	4,378	$448,001	$658,499	1,203,090	3,459,973	5,100	5,240	60,932	59,655	295,800	75.93	68%	274.83	0.35	65.17	0.84	63.43	58.0	19.74	20.17
73	 	TEX	2010.3	WEST	OffPeak	Roosevelt	Yes	Yes	One-Zone	173,360	2,571	$160,306	$517,684	648,516	1,915,897	4,590	4,335	41,234	33,033	266,220	67.42	31%	252.22	0.34	37.77	0.59	39.99	58.0	15.73	19.63
73	 	TEX	2010.3	WEST	Peak	Roosevelt	Yes	Yes	One-Zone	111,367	1,568	$150,112	$305,982	366,792	1,044,174	2,550	2,427	28,568	18,003	147,900	71.01	49%	233.89	0.35	43.67	0.65	45.89	58.0	12.84	20.37
